class,pc1,pc2
Germinated,-30.34693018,-13.11920075
Not,-15.41139757,7.884425906
Not,-18.51183162,14.21596877
Germinated,-40.14456597,12.18841005
Germinated,-29.87954604,-1.079046041
Not,-28.65548346,-10.51383521
Germinated,-15.02932915,1.444644999
Germinated,-25.96413906,5.916494763
Not,-20.84615968,-3.351000063
Germinated,-19.98623963,2.771677024
Germinated,-35.49115493,-2.330791677
Germinated,-43.19927815,3.870699302
Germinated,-23.90278632,6.019913546
Not,-33.00251616,-12.76388326
Not,-13.31466028,-0.015589064
Not,-13.59641827,-0.756015648
Not,-31.44854204,-16.79220009
Not,-27.60103097,-6.01925553
Not,-18.97737064,-8.671466609
Germinated,-40.06045863,6.050783274
Germinated,-34.13189652,-5.038394028
Germinated,-44.50073268,-6.461751914
Not,-23.99985406,-5.167446581
Not,-16.09058502,-5.148709854
Germinated,-33.5774315,-15.8752314
Germinated,-34.98787156,-7.89845308
Not,-44.63764426,-31.93446361
Germinated,-26.83521497,-7.521717237
Not,-27.45690128,-12.82993284
Germinated,-53.41188449,13.37572711
Germinated,-53.62625427,-1.178175135
Germinated,-38.23600016,-0.978953648
Germinated,-31.97537704,-12.64334864
Germinated,-23.69155623,3.158303951
Not,-11.52339734,-3.206294929
Germinated,-31.76672807,3.730336813
Germinated,-25.26601121,-7.204775723
Not,-14.43537067,3.733148473
Germinated,-49.38747772,3.684087462
Not,-22.94163297,-2.874870106
Not,-33.05854987,-16.77040642
Not,-30.4357882,-13.12047291
Not,-23.15078765,-8.95307927
Not,-23.08530439,3.300365274
Germinated,-56.60743168,26.03504567
Germinated,-35.98589797,10.64873835
Germinated,-23.21508189,-0.273397732
Germinated,-15.83735865,2.848681161
Not,-22.68838234,-7.755236418
Not,-15.97213026,-1.174230918
Not,-18.15183768,-7.193729749
Germinated,-35.39400033,-2.197861961
Not,-18.00741314,-0.715952238
Not,-23.84012005,-6.262214341
Not,-19.35720186,2.174644075
Not,-18.46615472,0.540289536
Not,-25.90098401,-14.80100139
Not,-24.86614944,-8.530531974
Germinated,-24.85864187,-2.105244877
Not,-14.79873201,-5.977125035
Not,-26.76752635,-12.6269029
Germinated,-29.19252831,-0.053233844
Not,-25.21547612,8.912845992
Germinated,-38.1539165,-6.724973402
Germinated,-31.54409985,-16.52142785
Not,-15.49970524,5.167697533
Not,-17.12778984,12.40735702
Germinated,-33.85650775,6.210739402
Germinated,-29.90671224,-4.117264913
Not,-24.3421691,-9.371769106
Germinated,-13.82187083,-2.453688188
Germinated,-23.38302563,0.752099558
Not,-18.65800258,-5.509180698
Germinated,-19.6969902,1.440197089
Germinated,-35.83613014,-4.51352924
Germinated,-37.47207033,3.888099423
Germinated,-24.49004887,2.05580547
Not,-34.23558379,-19.64207409
Not,-11.77169501,-4.035751482
Not,-13.5348103,-5.075549955
Not,-30.13400422,-19.20178149
Not,-28.74551866,-15.46080416
Not,-16.66925231,-7.65435601
Germinated,-35.74890076,1.293944072
Germinated,-23.52714919,-5.75846183
Germinated,-36.94696808,-7.005574946
Not,-21.90279925,-7.697052074
Not,-15.45742278,-6.245921975
Germinated,-29.80015224,-16.23492026
Germinated,-33.31159155,-12.3375592
Not,-40.48013084,-35.11849604
Germinated,-24.3516432,-12.28138684
Not,-27.06025615,-16.48921821
Germinated,-51.16976133,3.976941048
Germinated,-44.66934777,-11.73660868
Germinated,-32.08630447,-5.513055128
Germinated,-33.41741641,-17.63381656
Germinated,-24.59245408,0.688916924
